Company name,Street address,Zip code,City,Country,Phone Number,URL,Web address,Email
+49 8801 9119030,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/010digital-gmbh.html,http://www.010digital.eu,service@010digital.eu
None,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/1nce-gmbh.html,None,None,Address,"5G-ACIA - 5G Alliance for Connected Industries and Automation, a Working Party of ZVEI e.V.",Lyoner Str. 9,60528,Frankfurt am Main,Germany
+49 69 6302424,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/5g-acia---5g-alliance-for-connected-industries-and-automation-a-working-party-of-zvei-ev.html,http://www.5g-acia.org,info@5g-acia.org,Address,ABP Antriebstechnik GmbH,Leopoldstraße 1,78112,St. Georgen im Schwarzwald,Germany
+49 7724 580080,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/abp-antriebstechnik-gmbh.html,https://www.abp-antrieb.de/,info@abp-antrieb.de,Address,A1 Digital Deutschland GmbH,St.-Martin-Str. 59,81669,München,Germany,Fax,+49 711 34099291
+49 89 20937997,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/a1-digital-deutschland-gmbh.html,http://www.a1.digital,info@a1.digital,Address,Aaronn Electronic GmbH,Zeppelinstr.2,82178,Puchheim,Germany,Fax,+49 89 89457729
+49 89 8945770,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/aaronn-electronic-gmbh.html,http://www.aaronn.de,info@aaronn.de,Address,ABB AG,Kallstadter Str. 1,68309,Mannheim,Germany,Fax,+49 621 3818688
+49 621 43813333,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/abb-ag.html,https://new.abb.com/de,contact.center@de.abb.com,Address,ABI b.v.,Minckelersweg 22,2031 EM,Haarlem,Netherlands
+31 23 531 9292,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/abi-bv.html,http://www.abi.nl,info@abi.nl,Address,ABM Greiffenberger Antriebstechnik GmbH,Friedenfelser Str. 24,95615,Marktredwitz,Germany,Fax,+49 9231 675145
+49 9231 670,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/abm-greiffenberger-antriebstechnik-gmbh.html,http://www.abm-antriebe.de,vk@abm-antriebe.de,Address,Accso - Accelerated Solutions GmbH,Hilpertstr. 12,64295,Darmstadt,Germany,Fax,+49 4122 701400
+49 6151 130290,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/accso---accelerated-solutions-gmbh.html,http://www.accso.de,info@accso.de,Address,ACD Antriebstechnik GmbH,Engelberg,88480,Achstetten,Germany,Fax,+49 7392 708590
+49 7392 708500,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/acd-antriebstechnik-gmbh.html,http://www.acd-gruppe.de/antriebstechnik,info@acd-antriebstechnik.de,Address,ACD Elektronik GmbH,Engelberg 2,88480,Achstetten,Germany,Fax,+49 7392 708190
+49 7392 7080,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/acd-elektronik-gmbh.html,http://www.acd-gruppe.de,info@acd-elektronik.de,Address,aconno GmbH,Volmerswerther Str. 80-86,40221,Düsseldorf,Germany,Fax,+49 211 94216662
+49 211 93077809,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/aconno-gmbh.html,http://www.aconno.de,info@aconno.de,Address,acontis technologies GmbH,Gartenstr. 46,88212,Ravensburg,Germany,Fax,+49 751 5603031
+49 751 5603030,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/acontis-technologies-gmbh.html,http://www.acontis.com,info@acontis.com,Address,ACS Control-System GmbH,Lauterbachstrasse 57,84307,Eggenfelden,Germany,Fax,+49 8721 966830
+49 8721 96680,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/acs-control-system-gmbh.html,http://www.acs-controlsystem.com,info@acs-controlsystem.com,Address,ACS Motion Control Ltd.,HaTnufa Street 5,2066717,Yokneam Illit,Israel,Fax,+972 4-654-6443
+972 4-654-6440,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/acs-motion-control-ltd.html,http://www.acsmotioncontrol.com,marketing@acsmotioncontrol.com,Address,Actronic-Solutions GmbH,Untere Bachgasse 5a,91325,Adelsdorf,Germany,Fax,+49 9195 929617
+49 9195 9989410,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/actronic-solutions-gmbh.html,http://www.actronic-solutions.de,info@actronic-solutions.de,Address,ADAMCZEWSKI Elektronische Messtechnik GmbH,Felix-Wankel-Str.,74374,Zaberfeld,Germany
+49 7046 875,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/adamczewski-elektronische-messtechnik-gmbh.html,http://www.adamczewski.com,info@ad-messtechnik.de,Address,ADDI-DATA GmbH,Airport Boulevard B 210,77836,Rheinmünster,Germany,Fax,+49 7229 1847200
+49 7229 18470,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/addi-data-gmbh.html,http://www.addi-data.com,info@addi-data.com,Address,ADEL System Srl,Via Luigi Barchi 9B,42124,Reggio Emilia,Italy,Fax,+39 0052 234 5551
+39 0052 234 5518,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/adel-system-srl.html,http://www.adelsystem.com,info@adelsystem.it,Address,Advantech Europe B.V.,Hochdahler Str.,40724,Hilden,Germany,Fax,+39 0029 544 9650
+49 800 24268080,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/advantech-europe-bv-zweigniederlassung-deutschland.html,http://www.advantech.eu,customercare@advantech.eu,Address,AeroLas GmbH,Grimmerweg 6,82008,Unterhaching,Germany,Fax,+49 89 66608955
+49 89 6660890,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/aerolas-gmbh.html,http://www.aerolas.de,info@aerolas.de,Address,Aerotech GmbH,Gustav-Weißkopf-Str. 18,90768,Fürth,Germany,Fax,+49 911 96793720
+49 911 9679370,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/aerotech-gmbh.html,https://de.aerotech.com/,info@aerotechgmbh.de,Address,AiSight GmbH,Gertraudenstr. 10-12,10178,Berlin,Germany
+49 30 40363399,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/aisight-gmbh.html,http://www.aisight.de,demo@aisight.de,Address,Akribis Systems GmbH,Wetterkreuz 3,91058,Erlangen,Germany
+49 9131 811790,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/akribis-systems-gmbh.html,http://www.akribis-sys.com,sales@akribis-sys.de,Address,Alarm IT Factory GmbH,Rotebühlstr. 51A,70178,Stuttgart,Germany
+49 711 62007690,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/alarm-it-factory-gmbh.html,http://www.alarm-it-factory.de,sales@alarmcontrolcenter.de,Address,Alcast Division of Eurotranciatura S.p.A.,Via Sandro Pertini 7,20066,Melzo,Italy,Fax,+39 02 9573 8494
+39 02 3500 0400,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/alcast-division-of-eurotranciatura-spa.html,http://www.alcast.it,alcast@alcast.it,Address,AlexanderVerlag.at GmbH,Hauptplatz 11,3712,Maissau,Austria,Fax,+43 2958 8240030
+43 2958 824000,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/alexanderverlagat-gmbh.html,http://www.austromatisierung.at,office@austromatisierung.at,Address,ALFA PLASTIC S.A.S. DI FIORATTI PAOLO & C.,Della Valle 39,20841,Carate Brianza,Italy
+39 0362 903539,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/alfa-plastic-sas-di-fioratti-paolo--c.html,http://www.alfaelectric.com,amministrazione@alfaelectric.com,Address,Alfra GmbH,2. Industriestr. 10,68766,Hockenheim,Germany,Fax,+49 6205 3051150
+49 6205 30510,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/alfra-gmbh.html,http://www.alfra.de,info@alfra.de,Address,All for One Group SE,Rita-Maiburg-Str. 40,70794,Filderstadt,Germany,Fax,+49 711 78807222
+49 711 788070,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/all-for-one-group-se.html,http://www.all-for-one.com,info@all-for-one.com,Address,Allied Motion Technologies Inc.,Commerce Drive 495,14228,Amherst,United States
+1 716-242-7535,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/allied-motion-technologies-inc.html,http://www.alliedmotion.com,info@alliedmotion.com,Address,Alltorq Ltd,"15 Talon Court, Eagle Business Park,",PE7 3FW,Peterborough,Great Britain and Northern Ireland,Fax,+44 1733 243661
+44 1733 229240,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/alltorq-ltd.html,http://www.alltorq.com,sales@alltorq.com,Address,ALPHA Informationsgesellschaft mbH,Finkenstr. 10,68623,Lampertheim,Germany,Fax,+49 6206 939251
+49 6206 9390,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/alpha-informationsgesellschaft-mbh.html,http://www.alphapublic.de,info@alphapublic.de,Address,Altra Industrial Motion Corp.,"Granite Street, Suite 201 300",02184,Braintree,United States,Fax,+1 781-843-0709
+1 781-917-0600,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/altra-industrial-motion-corp.html,http://www.altramotion.com,info@altramotion.com,Address,ALTUS Sistemas de Automacao S.A.,Av. Theodomiro Porto da Fonseca 3101,93020-080,Sao Leopoldo / RS,Brazil
+55 51 3589-9500,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/altus-sistemas-de-automacao-sa.html,http://www.altus.com.br,vendas@altus.com.br,Address,AMAC ASIC - und Mikrosensoranwendung Chemnitz GmbH,Kopernikusstr. 16,09117,Chemnitz,Germany
+49 371 3342040,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/amac-asic---und-mikrosensoranwendung-chemnitz-gmbh.html,http://www.amac-chemnitz.de,info@amac-chemnitz.de
None,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/amazon-web-services-inc.html,None,None,Address,A Media Bodo's Power Systems,Katzbek 17a,24235,Laboe,Germany,Fax,+49 4343 421789
+49 4343 421790,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/a-media-bodos-power-systems.html,http://www.bodospower.com,info@bodospower.com,Address,AMETEK SRL,Via Della Liberazione,20068,Peschiera Borromeo,Italy
+39 02 946931,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/ametek-italia-srl.html,http://www.ametekmae.com,info.maesales@ametek.com,Address,AMKmotion GmbH + Co KG,Gaußstr. 37-39,73230,Kirchheim unter Teck,Germany,Fax,+49 7021 5005176
+49 7021 50050,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/amkmotion-gmbh--co-kg.html,http://www.amk-motion.com,info@amk-motion.com,Address,AmpereSoft GmbH,Jonas-Cahn-Str. 13,53115,Bonn,Germany,Fax,+49 228 60884749
+49 228 6088470,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/amperesoft-gmbh.html,http://www.amperesoft.net,info@amperesoft.net,Address,Amphenol,Old Trail Rd 825,17319,Etters,United States
+1 717-773-6198,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/amphenol.html,https://amphenol-cs.com,lorri.bupp@amphenol-fci.com,Address,Amphenol Tuchel Industrial GmbH,August-Häußer-Str. 10,74080,Heilbronn,Germany
+49 7131 9290,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/amphenol-tuchel-industrial-gmbh.html,http://www.amphenol-industrial.de,industrial@amphenol.de,Address,Amplo AG,Stauffacherstrasse 96,8004,Zürich,Switzerland
+41 79 533 38 73,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/amplo-ag.html,http://www.amplo.ch,info@amplo.ch,Address,AMTRION GmbH (ehemals Haseke),Sandtrift,32457,Porta Westfalica,Germany
+49 5731 76070,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/haseke-gmbh--co-kg.html,http://www.amtrion.com,info@amtrion.com,Address,Analog Devices GmbH,Otl-Aicher-Str. 60-64,80807,München,Germany,Fax,+49 89 76903157
+49 89 76903500,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/analog-devices-gmbh.html,http://www.analog.com,adi-germany@analog.com,Address,"Analog Devices, Inc.",Jefferson St. Suite A 5635,87109,Albuquerque,United States,Fax,+1 505-883-5477
+1 505-355-4467,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/analog-devices-inc.html,http://www.analog.com,corpcomm@analog.com,Address,Anamet Europe B.V.,Galwin 5,1046 AW,Amsterdam,Netherlands,Fax,+31 20 688 1126
+31 20 586 3586,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/anamet-europe-bv.html,http://www.anameteurope.com,sales@anamet.nl,Address,ANDIG S.a.r.l.,Route des Blaves 451,74200,Allinges,France,Fax,+33 4 50 70 56 56
+33 4 50 70 54 54,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/andig-sarl.html,http://www.andig.fr,info@andig.fr,Address,Anixter,"Inspired, Easthampstead Road",RG12 1YQ,Bracknell,Great Britain and Northern Ireland
+44 1344 388100,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/anixter.html,http://www.anixter.com/emea,emea.marketing@anixter.com,Address,AQ Trafotek Oy,Kaarinantie,20540,Turku,Finland
+358 2 2759200,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/aq-trafotek-oy.html,http://www.trafotek.fi,info.trk@aqgroup.com
None,https://sps.mesago.com/nuernberg/en/exhibitor-search.detail.html/arduino-srl.html,None,None
